"presenca" "lat" "lon" "class" "especie" "area" "Incidencia" "Total_erradicadas" "total_plantas"
"996" "Present" -21.84139 -45.4388 "Mini" "Mandarins" 1.5 1.32 8 608
"997" "Present" -21.87509 -45.4386 "Small" "Mandarins" 14 0.2 15 7515
"998" "Present" -21.85403 -45.4386 "Mini" "Mandarins" 2 41.12 433 1053
"999" "Present" -21.83828 -45.4383 "Mini" "Mandarins" 3 38.45 531 1381
"1000" "Present" -21.83547 -45.438 "Mini" "Mandarins" 5 3.59 93 2593
"1001" "Present" -21.85024 -45.4379 "Mini" "Mandarins" 3.3 12.26 246 2006
"1002" "Present" -21.88204 -45.4376 "Mini" "Mandarins" 1.2 17.82 149 836
"1003" "Absent" -20.15138 -45.4375 "Mini" "Mandarins" 1.5 0 0 1200
"1004" "Present" -20.05089 -45.4375 "Mini" "Mandarins" 0.54 2 6 300
"1005" "Present" -21.89194 -45.4375 "Small" "Sweet orange" 31.79 15.02 2738 18226
"1006" "Present" -21.87792 -45.4373 "Mini" "Mandarins" 4 26.53 614 2314
"1007" "Present" -21.87792 -45.4373 "Mini" "Mandarins" 2 4.09 47 1150
"1008" "Present" -21.87221 -45.437 "Small" "Mandarins" 21.6 8.15 1000 12271
"1009" "Present" -21.76992 -45.4355 "Mini" "Mandarins" 8 0.69 31 4515
"1010" "Present" -21.90475 -45.4352 "Small" "Mandarins" 12.6 1.47 104 7079
"1011" "Present" -20.08611 -45.435 "Mini" "Mandarins" 5 3.86 85 2200
"1012" "Present" -21.86307 -45.4345 "Mini" "Mandarins" 7.2 4.44 182 4102
"1013" "Present" -21.79747 -45.4339 "Mini" "Mandarins" 0.8 10.17 30 295
"1014" "Present" -21.89192 -45.4333 "Mini" "Mandarins" 2 4.44 50 1125
"1015" "Present" -21.8893 -45.4331 "Mini" "Mandarins" 2 0.7 7 1007
"1016" "Absent" -21.90258 -45.4328 "Mini" "Mandarins" 3.8 0 0 1600
"1017" "Present" -21.88181 -45.4326 "Mini" "Mandarins" 4.5 20.89 660 3160
"1018" "Present" -21.79495 -45.4315 "Small" "Mandarins" 12.7 1.81 130 7180
"1019" "Present" -21.86182 -45.4315 "Mini" "Mandarins" 2.6 5.96 88 1477
"1020" "Present" -21.88494 -45.4303 "Mini" "Sweet orange" 7 6.72 249 3703
"1021" "Present" -21.85194 -45.4303 "Mini" "Mandarins" 5 41.23 1412 3425
"1022" "Present" -21.834 -45.4295 "Small" "Mandarins" 20 25.07 2840 11328
"1023" "Present" -21.81825 -45.4292 "Mini" "Mandarins" 1.5 33.27 374 1124
"1024" "Present" -21.84103 -45.4286 "Small" "Mandarins" 14 10.13 773 7628
"1025" "Present" -21.88071 -45.4273 "Small" "Sweet orange" 14.3 9.11 761 8351
"1026" "Present" -21.87806 -45.4272 "Mini" "Mandarins" 3.5 10.9 205 1880
"1027" "Present" -21.91706 -45.427 "Mini" "Mandarins" 1.4 17.39 160 920
"1028" "Present" -21.88228 -45.4268 "Mini" "Mandarins" 2 2.78 28 1006
"1029" "Present" -21.80678 -45.4253 "Mini" "Mandarins" 8 5.52 200 3620
"1030" "Present" -21.87739 -45.4247 "Mini" "Mandarins" 1 25.71 173 673
"1031" "Present" -21.88544 -45.4245 "Mini" "Sweet orange" 6.5 2.04 58 2837
"1032" "Present" -21.76564 -45.4245 "Small" "Mandarins" 12 25.48 2005 7870
"1033" "Present" -21.88303 -45.4237 "Mini" "Sweet orange" 4.5 2.68 60 2242
"1034" "Present" -21.91884 -45.4236 "Mini" "Mandarins" 0.6 7.89 42 532
"1035" "Absent" -21.8531 -45.4233 "Mini" "Mandarins" 5.4 0 0 3000
"1036" "Absent" -20.04872 -45.42306 "Mini" "Mandarins" 4.6 0 0 2200
"1037" "Present" -21.91708 -45.4229 "Mini" "Mandarins" 2.3 7.23 97 1341
"1038" "Present" -21.87626 -45.4228 "Mini" "Mandarins" 10 9.4 493 5243
"1039" "Present" -20.16509 -45.4225 "Small" "Mandarins" 17.6 0.03 6 23600
"1040" "Present" -21.83067 -45.4222 "Mini" "Mandarins" 3.5 0.64 11 1706
"1041" "Absent" -21.8306 -45.4222 "Mini" "Mandarins" 3.5 0 0 1700
"1042" "Present" -21.85678 -45.4217 "Small" "Mandarins" 10.8 1 60 6015
"1043" "Present" -22 -45.4217 "Medium" "Mandarins" 79.6 2.78 1045 37614
"1044" "Present" -20.14556 -45.42111 "Small" "Mandarins" 36.8 4.3 952 22121
"1045" "Present" -21.85444 -45.4211 "Small" "Mandarins" 36.8 12.38 2600 20996
"1046" "Present" -21.85044 -45.4193 "Small" "Mandarins" 10.81 3.16 194 6139
"1047" "Present" -21.916 -45.4193 "Mini" "Mandarins" 2.3 4.83 71 1471
"1048" "Present" -20.084 -45.41917 "Mini" "Mandarins" 2.3 3.57 50 1400
"1049" "Present" -21.84564 -45.4191 "Small" "Mandarins" 29.2 4.34 735 16947
"1050" "Present" -21.79539 -45.4185 "Mini" "Mandarins" 6.5 31.85 1285 4035
"1051" "Absent" -21.7953 -45.4183 "Mini" "Mandarins" 6.5 0 0 3500
"1052" "Present" -21.80199 -45.4179 "Mini" "Mandarins" 6 23.47 899 3830
"1053" "Present" -21.8019 -45.4178 "Mini" "Mandarins" 6 0.88 22 2500
